country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2015,2014,2016,2017,2018,2019
Denmark,,15.8185,14.9022,13.6317,14.2267,14.8065,14.7169,12.6134,13.147,12.8688,11.7973,12.5667,12.8035,12.1265,10.9294,11.9822,10.8706,11.3453,11.3681,10.6956
Djibouti,7.16,6.98,7.26,7.39,7.53,7.56,7.47,7.48,7.6,7.79,8.22,8.47,8.66,9,9.02,9.18,9.32,9.7,9.7,9.64
Dominican Republic,,3.87,4.09,4.44,4.5,4.75,4.73,4.83,4.82,4.89,4.72,4.88,5.2,5.49,6.37,6.06,6.36,5.69,5.24,4.93
Ecuador,,6.89,7.92,8.47,9.02,9.88,10.0217,10.2071,10.5205,10.4759,9.92,9.79,10.1035,9.55,8.79,8.78,8.96,9.2,8.05,7.63
Egypt,3.05,3.16,3.17,3.15,3.13,3.09,3.08,3.07,3.08,3.14,3.21,3.31,3.43,3.39,3.28,3.29,3.2,2.98,2.96,3.01
El Salvador,,6.75,5.29,6.53,6.79,7.76,6.63,7.92,6.83,8.56,6.12,8.03,6.75,6.39,6.94,5.76,5.72,6.12,6.03,6.05
Equatorial Guinea,,11.3947,10.0673,9.74,9.29,8.9,9.2,9.03,8.81,8.89,10.0338,11.1533,10.0496,8.44,9.78,8.83,9.29,7.79,8.29,7.9
Eritrea,,13.9562,13.7227,12.8378,12.9769,13.0561,13.1986,12.9368,13.2715,12.975,12.7348,12.5183,12.2692,11.9748,11.6475,11.745,11.4685,11.333,11.2818,10.9147
Estonia,,30.2906,29.334,26.3467,26.5491,22.6326,20.8582,21.3714,19.4395,23.3087,18.7913,18.2353,21.0896,18.9332,15.8892,19.545,15.73,18.7438,15.3427,14.8911
Eswatini,,32.1963,37.2149,40.5393,42.4151,43.8989,47.2838,53.8887,54.9687,54.2406,50.3861,47.0484,47.5703,44.6281,35.0677,39.2481,32.8448,30.4414,28.5395,29.3998
Ethiopia,,9.25,8.91,8.58,8.29,8.07,7.84,7.73,7.64,7.35,7.05,6.67,6.12,5.66,5.52,5.5,5.45,5.4,5.39,5.38
Fiji,10.5703,10.4199,10.1396,9.69,9.37,9.54,9.23,9.44,9.6,9.66,9.64,9.84,10,9.98,9.39,9.69,9.42,9.31,9.14,8.96
Finland,,24.1261,22.0358,21.7234,21.2457,19.921,21.034,19.6881,20.5753,20.4024,18.5722,17.9436,16.9529,17.224,14.0316,15.4346,15.2422,15.926,16.1713,15.2946
France,,19.4566,19.811,20.1022,19.4706,19.124,18.459,17.946,18.246,18.4191,18.2401,18.0141,17.7816,16.9693,15.8383,15.6323,14.8874,14.6198,14.2124,13.7586
Gabon,,12.2151,11.249,11.0162,10.0835,10.2359,10.6264,10.4175,11.2693,10.2046,10.0992,10.0487,8.93,8.64,9.64,9.78,9.2,8.79,8.64,8.41
Gambia,,5.67,5.75,5.8,5.9,5.79,5.73,5.65,5.62,5.45,5.3,5.41,5.3,5.27,5.07,5.25,4.9,4.91,4.78,4.8
