country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Estonia,107.5407594,112.614299,112.1358566,103.5004017,106.8532913,95.61913566,86.85679925,91.71688162,88.17983342,112.7748466,94.65991785,95.25170116,112.0075544,104.1049341,93.12657295,108.4629997,91.22997493,111.2365945,92.3386825,99.92739191
Eswatini,75.05308169,80.26108291,87.13582384,91.13899634,92.81820935,94.46793529,100.9742765,112.5951906,114.8945002,114.7192666,110.0186516,107.0990535,109.6606581,106.2795225,92.30336344,98.7211409,88.43020554,84.44492774,81.38215207,83.42387534
Ethiopia,35.48885346,35.53742187,35.37026635,35.09556998,34.91183393,34.91725864,35.00606355,35.53397264,36.07948253,36.09409805,35.98495676,35.08840226,33.3859034,31.70532644,31.2652751,31.17942113,31.29529204,31.38299634,31.44342226,31.46318427
Fiji,24.49787162,24.92280315,24.89175098,23.70284992,23.65969829,23.69352206,22.7211801,23.08918639,23.39758815,24.09990233,24.31317794,25.05872502,25.64575367,25.72767692,24.39132729,25.03151543,24.5942664,24.4143314,24.11570684,23.78001364
Finland,165.5002221,175.0264432,162.0593998,162.3069078,158.7430979,153.5444875,168.3017558,157.2069871,168.8560875,167.8041462,154.9784583,153.4351811,148.5998938,155.208645,132.381328,144.9450115,147.0217443,155.2498952,161.8847597,159.2897128
France,143.2238182,140.591614,145.3891367,149.8702385,152.0843585,150.1757836,148.7182627,147.1919844,151.9670513,154.4054221,154.5490902,156.0690637,151.2690399,150.6431226,143.7223176,142.0684227,136.3589734,135.3722789,132.9300276,130.0075971
Gabon,43.1855468,41.36226512,40.16315187,39.45657223,38.17695616,38.29362021,38.8970862,39.10464166,40.94702136,38.83819575,39.15971333,39.17403435,38.51327544,38.58534686,40.05116911,40.20817805,39.19996285,38.88988191,38.93926556,39.42703748
Gambia,24.99678549,25.32159995,25.5366244,25.54315538,25.65553144,25.29444658,25.10447052,24.80153287,24.81944078,24.240009,23.85502625,24.18315904,23.70855476,23.65651636,23.13856624,23.51741722,22.66939008,22.89786201,22.55894941,22.76258059
Georgia,24.64770294,24.14589187,25.93847545,22.42535271,25.43816643,23.29285745,23.00843306,22.9071126,26.73684015,27.28445122,30.58781807,32.74397956,36.11092804,38.85580793,41.32589148,41.06089103,40.35859382,38.70566333,37.81978629,36.87869641
Germany,89.70690272,93.32566671,95.18523049,95.79791993,97.37745381,94.63711178,93.71241027,91.56522396,94.1074612,96.57088832,101.7478277,103.2451603,102.4147624,104.8104785,105.6475368,108.2949421,105.0554688,104.0102551,105.9723039,102.1545205
Ghana,22.54451912,23.82515797,24.73287473,25.75638108,26.7397661,27.2672304,27.79554482,28.00070313,29.12122623,29.63775516,30.42495857,30.7129056,30.93748523,31.09060034,30.34420121,30.75969083,30.26046697,29.82759138,29.15916645,29.15253362
Greece,23.10283843,20.91916765,20.48629249,23.35500669,22.12814814,26.74929389,26.97110766,21.46475795,24.79861246,26.56687192,25.88226544,32.02910618,34.30309699,37.11405274,38.61317414,41.00851715,37.26956912,40.77753421,40.28434698,40.79453978
Grenada,8.351562503,1.637955582,14.26057593,10.29074143,20.04782839,14.08527889,24.01102812,9.256433102,11.32821699,3.433513681,4.138451292,7.421584412,7.209069769,5.121932113,2.981599333,2.430641745,4.075027411,2.64804045,1.234217757,2.805270139
Guatemala,68.54986927,72.71721227,73.08557427,72.02462951,71.42312144,71.13416843,67.37000064,52.83193193,51.69367694,48.37578902,43.624639,39.50720029,36.02213853,34.6803928,33.78607446,33.9130143,33.25333509,34.68735399,35.85222856,35.87741216
Guinea,24.1355804,24.19056283,24.27181293,24.24957314,24.26784511,23.94564339,24.50548063,25.19617162,25.27783692,25.28234254,26.27105128,26.92930173,27.01343718,27.60574746,27.25376678,27.12598479,27.21993129,27.19596687,27.24336827,28.02977581
Guinea-Bissau,30.69582019,30.37076117,29.84963494,29.40797076,29.2546795,28.80097739,28.77028983,28.78988899,28.85659096,28.91599343,28.7259755,28.47420105,28.42076696,28.5216446,27.74496218,28.17770936,27.9492799,28.09100099,28.31787878,28.04468964
Guyana,87.84835251,100.4445402,99.03743826,95.47355983,93.91212211,90.37619538,90.63546682,91.82391395,88.07637681,97.02219854,99.36585647,99.33822073,108.1411536,119.4944182,120.9230182,118.7329477,124.8682925,129.0318252,134.2996373,138.0100535
Haiti,28.23053993,27.75321072,27.54769638,27.50683007,26.77221039,27.88572065,28.42223407,29.54376439,29.81325351,30.5256399,32.48868515,30.21166238,29.98415982,30.14730282,30.75471663,30.44271888,30.52944335,30.62305633,30.80913724,30.76155265
